Date,Age,Test_Conducted,Passes,Pass_Rate,Gender,Test_Centre
2011,22,222,99,44.6,0,Wood Green
2011,23,222,81,36.5,0,Wood Green
2011,24,212,98,46.2,0,Wood Green
2011,25,195,64,32.8,0,Wood Green
2010,17,239,111,46.4,1,Wood Green
2010,18,295,131,44.4,1,Wood Green
2010,19,297,135,45.5,1,Wood Green
2010,20,199,98,49.2,1,Wood Green
2010,21,180,76,42.2,1,Wood Green
2010,22,173,77,44.5,1,Wood Green
2010,23,143,66,46.2,1,Wood Green
2010,24,128,69,53.9,1,Wood Green
2010,25,141,64,45.4,1,Wood Green
2010,17,134,64,47.8,0,Wood Green
2010,18,296,112,37.8,0,Wood Green
2010,19,266,113,42.5,0,Wood Green
2010,20,261,102,39.1,0,Wood Green
2010,21,228,79,34.6,0,Wood Green
2010,22,199,80,40.2,0,Wood Green
2010,23,219,78,35.6,0,Wood Green
2010,24,203,81,39.9,0,Wood Green
2010,25,205,81,39.5,0,Wood Green
2009,17,225,122,54.2,1,Wood Green
2009,18,326,145,44.5,1,Wood Green
2009,19,279,122,43.7,1,Wood Green
2009,20,216,90,41.7,1,Wood Green
2009,21,218,109,50,1,Wood Green
2009,22,205,90,43.9,1,Wood Green
2009,23,147,63,42.9,1,Wood Green
2009,24,143,66,46.2,1,Wood Green
2009,25,162,85,52.5,1,Wood Green
2009,17,146,69,47.3,0,Wood Green
2009,18,301,124,41.2,0,Wood Green
2009,19,321,137,42.7,0,Wood Green
2009,20,319,120,37.6,0,Wood Green
2009,21,266,107,40.2,0,Wood Green
2009,22,223,85,38.1,0,Wood Green
2009,23,234,89,38,0,Wood Green
2009,24,258,76,29.5,0,Wood Green
2009,25,255,83,32.5,0,Wood Green
2008,17,223,95,42.6,1,Wood Green
2008,18,328,136,41.5,1,Wood Green
2008,19,265,110,41.5,1,Wood Green
2008,20,239,102,42.7,1,Wood Green
2008,21,195,85,43.6,1,Wood Green
2008,22,206,88,42.7,1,Wood Green
2008,23,236,101,42.8,1,Wood Green
2008,24,159,70,44,1,Wood Green
2008,25,184,76,41.3,1,Wood Green
2008,17,129,51,39.5,0,Wood Green
2008,18,262,103,39.3,0,Wood Green
2008,19,372,123,33.1,0,Wood Green
2008,20,255,91,35.7,0,Wood Green
2008,21,250,101,40.4,0,Wood Green
2008,22,233,90,38.6,0,Wood Green
2008,23,247,98,39.7,0,Wood Green
2008,24,186,75,40.3,0,Wood Green
2008,25,226,82,36.3,0,Wood Green
2015,17,918,543,59.2,1,Worcester
2015,18,638,312,48.9,1,Worcester
2015,19,299,155,51.8,1,Worcester
2015,20,154,81,52.6,1,Worcester
2015,21,132,72,54.5,1,Worcester
2015,22,132,71,53.8,1,Worcester
2015,23,118,65,55.1,1,Worcester
2015,24,107,57,53.3,1,Worcester
2015,25,78,42,53.8,1,Worcester
2015,17,819,425,51.9,0,Worcester
2015,18,681,344,50.5,0,Worcester
2015,19,262,121,46.2,0,Worcester
2015,20,211,94,44.5,0,Worcester
2015,21,155,69,44.5,0,Worcester
2015,22,172,80,46.5,0,Worcester
2015,23,117,50,42.7,0,Worcester
2015,24,94,47,50,0,Worcester
2015,25,86,41,47.7,0,Worcester
2014,17,855,494,57.8,1,Worcester
2014,18,609,309,50.7,1,Worcester
2014,19,272,130,47.8,1,Worcester
2014,20,152,78,51.3,1,Worcester
2014,21,103,61,59.2,1,Worcester
2014,22,147,70,47.6,1,Worcester
2014,23,97,50,51.5,1,Worcester
2014,24,86,50,58.1,1,Worcester
2014,25,79,47,59.5,1,Worcester
2014,17,906,482,53.2,0,Worcester
2014,18,608,274,45.1,0,Worcester
2014,19,257,132,51.4,0,Worcester
2014,20,186,84,45.2,0,Worcester
2014,21,133,63,47.4,0,Worcester
2014,22,133,58,43.6,0,Worcester
2014,23,134,55,41,0,Worcester
2014,24,118,58,49.2,0,Worcester
2014,25,98,37,37.8,0,Worcester
2013,17,908,538,59.3,1,Worcester
2013,18,493,270,54.8,1,Worcester
2013,19,243,110,45.3,1,Worcester
2013,20,158,92,58.2,1,Worcester
2013,21,138,70,50.7,1,Worcester
2013,22,108,55,50.9,1,Worcester
2013,23,93,57,61.3,1,Worcester
2013,24,89,41,46.1,1,Worcester
2013,25,75,39,52,1,Worcester
2013,17,873,489,56,0,Worcester
2013,18,581,275,47.3,0,Worcester
2013,19,285,136,47.7,0,Worcester
2013,20,224,108,48.2,0,Worcester
2013,21,156,73,46.8,0,Worcester
2013,22,140,64,45.7,0,Worcester
2013,23,111,45,40.5,0,Worcester
2013,24,79,34,43,0,Worcester
2013,25,99,38,38.4,0,Worcester
2012,17,1025,587,57.3,1,Worcester
2012,18,578,307,53.1,1,Worcester
2012,19,259,141,54.4,1,Worcester
2012,20,147,79,53.7,1,Worcester
2012,21,122,70,57.4,1,Worcester
2012,22,123,72,58.5,1,Worcester
2012,23,122,51,41.8,1,Worcester
2012,24,84,43,51.2,1,Worcester
2012,25,73,32,43.8,1,Worcester
2012,17,1018,564,55.4,0,Worcester
2012,18,733,336,45.8,0,Worcester
2012,19,322,141,43.8,0,Worcester
2012,20,203,91,44.8,0,Worcester
2012,21,175,72,41.1,0,Worcester
2012,22,171,75,43.9,0,Worcester
2012,23,133,61,45.9,0,Worcester
2012,24,98,48,49,0,Worcester
2012,25,118,50,42.4,0,Worcester
2011,17,1133,655,57.8,1,Worcester
2011,18,672,343,51,1,Worcester
2011,19,261,126,48.3,1,Worcester
2011,20,144,84,58.3,1,Worcester
2011,21,106,61,57.5,1,Worcester
2011,22,121,59,48.8,1,Worcester
2011,23,110,58,52.7,1,Worcester
2011,24,100,50,50,1,Worcester
2011,25,77,40,51.9,1,Worcester
2011,17,1044,558,53.4,0,Worcester
2011,18,732,341,46.6,0,Worcester
2011,19,346,157,45.4,0,Worcester
2011,20,210,89,42.4,0,Worcester
2011,21,166,72,43.4,0,Worcester
2011,22,141,56,39.7,0,Worcester
2011,23,138,64,46.4,0,Worcester
2011,24,102,50,49,0,Worcester
2011,25,115,37,32.2,0,Worcester
2010,17,1167,652,55.9,1,Worcester
2010,18,616,267,43.3,1,Worcester
2010,19,308,148,48.1,1,Worcester
2010,20,132,69,52.3,1,Worcester
2010,21,135,53,39.3,1,Worcester
2010,22,125,66,52.8,1,Worcester
2010,23,95,40,42.1,1,Worcester
2010,24,107,55,51.4,1,Worcester
2010,25,77,33,42.9,1,Worcester
2010,17,1112,550,49.5,0,Worcester
2010,18,732,333,45.5,0,Worcester
2010,19,286,114,39.9,0,Worcester
2010,20,170,71,41.8,0,Worcester
2010,21,110,50,45.5,0,Worcester
2010,22,127,51,40.2,0,Worcester
2010,23,106,53,50,0,Worcester
2010,24,89,28,31.5,0,Worcester
2010,25,94,35,37.2,0,Worcester
2009,17,965,555,57.5,1,Worcester
2009,18,599,281,46.9,1,Worcester
2009,19,258,127,49.2,1,Worcester
2009,20,128,60,46.9,1,Worcester
2009,21,141,62,44,1,Worcester
2009,22,111,55,49.5,1,Worcester
2009,23,111,53,47.7,1,Worcester
2009,24,73,36,49.3,1,Worcester
2009,25,55,30,54.5,1,Worcester
2009,17,809,410,50.7,0,Worcester
2009,18,732,348,47.5,0,Worcester
2009,19,278,126,45.3,0,Worcester
2009,20,195,82,42.1,0,Worcester
2009,21,105,50,47.6,0,Worcester
2009,22,131,56,42.7,0,Worcester
2009,23,147,64,43.5,0,Worcester
2009,24,80,32,40,0,Worcester
2009,25,99,31,31.3,0,Worcester
2008,17,1038,534,51.4,1,Worcester
2008,18,657,286,43.5,1,Worcester
2008,19,240,110,45.8,1,Worcester
2008,20,136,64,47.1,1,Worcester
2008,21,153,71,46.4,1,Worcester
2008,22,94,44,46.8,1,Worcester
2008,23,109,44,40.4,1,Worcester
2008,24,67,37,55.2,1,Worcester
2008,25,78,38,48.7,1,Worcester
2008,17,882,417,47.3,0,Worcester
2008,18,674,301,44.7,0,Worcester
2008,19,272,114,41.9,0,Worcester
2008,20,134,54,40.3,0,Worcester
2008,21,154,61,39.6,0,Worcester
2008,22,112,42,37.5,0,Worcester
2008,23,120,57,47.5,0,Worcester
2008,24,94,35,37.2,0,Worcester
2008,25,70,29,41.4,0,Worcester
